#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes
,KWF-1,6/30/2018,black spiral p19,20.32,38.1,8,15,,,"sandy clay, FGR",wet,"C/C-F, M/VF",dark brown,,
,KWF-1,6/30/2018,black spiral p19,38.1,67.31,15,26.5,,,"sandy clay loam, FGR, CGR",wet-saturated,C/F-VF,red brown,,
,KWF-1,6/30/2018,black spiral p19,67.31,83.82,26.5,33,,,"sandy clay, FGR",saturated,,tan,,
,KWF-1,6/30/2018,black spiral p19,83.82,88.9,33,35,,,"sandy clay, VGR (M-F)",,,tan,,
,KWF-1,6/30/2018,black spiral p19,88.9,91.44,35,36,,,GR,,,,,"loose gravel; bottom of well at 35"""
,,,,,,,,,,,,,,,
17,KHR-1,7/4/2019,orange p70,0,4,,,,HO,HO,moist,"C/VF, F/M, M/F","7.5 YR, 2.5/1; mottled yellow",,
,KHR-1,7/4/2019,orange p70,4,32,,,,,silty clay,moist,"C/VF, M/F, VF/C","7.5 YR, 2.5/1; mottled yellow",,
,KHR-1,7/4/2019,orange p70,32,42,,,,,sandy clay,moist,"VF/M-C, F/C, M/F","7.5 YR, 3/2; mottled red-orange",,
,KHR-1,7/4/2019,orange p70,42,50,,,,,silty clay,saturated,"VF/F, F/F","7.5 YR, 3/2; mottled red-orange",,
,KHR-1,7/4/2019,orange p70,50,74,,,,,sandy clay,saturated,"VF/F, F/F","10 YR, 4/2; mottled yellow",,
,KHR-1,7/4/2019,orange p70,74,95,,,,,sandy clay,saturated,M/VF,"10 YR, 4/3; mottled orange",,FGR < 15%
,KHR-1,7/4/2019,orange p70,95,102,,,,"fibrous, mycelium?","sandy clay, GR",wet,"VF/M, F/C","10 YR, 4/4; gley, mottled",,"subangular gravels, photo of possible mycelium"
,KHR-1,7/4/2019,orange p70,102,104,,,,,"FGR, CGR",saturated,VF/F,"10 YR, 4/4",,subangular gravels with coarse sand
,,,,,,,,,,,,,,,
18,KET-1,7/5/2019,orange p70,0,12,,,O,,,saturated,"M/C, VF-F/M","5 YR, 2.5/1",,
,KET-1,7/5/2019,orange p70,12,20,,,A,,silty clay,saturated,"M/F, VF-F/M","7.5 YR, 2.5/1",,gradual transition to A
,KET-1,7/5/2019,orange p70,20,42,,,,"fibers with redox, 1 mm buffer","sandy clay, FGR",saturated,VF/M,"7.5 YR, 3/2",,
,KET-1,7/5/2019,orange p70,42,59,,,,,sandy clay,saturated,"F/C, VF-F/M","7.5 YR, 4/1",,
,KET-1,7/5/2019,orange p70,59,80,,,,fibers with redox,"sandy clay, FGR",wet,F-VF/M,"10 YR, 4/2",,
,KET-1,7/5/2019,orange p70,80,84,,,,,GR,wet,,,,"subangular gravels, medium to coarse"
,KET-1,7/5/2019,orange p70,84,110,,,,,"sandy clay, VGR",wet,F/F-VF,"7.5 YR, 4/3",,
,,,,,,,,,,,,,,,
19,EET-2,7/5/2019,orange p71,0,4,,,O,,,moist,"F-VF/M, M/F","10 YR, 2.5/1",,color darker
,EET-2,7/5/2019,orange p71,4,10,,,,fibrous,silty clay,moist,"F/VF, M/C","2.5 YR, 2.5/1",,
,EET-2,7/5/2019,orange p71,10,45,,,,,"silty clay, FGR",moist,"F/M, C/F","5 YR, 2/3",,pebbles 1-3 mm
,EET-2,7/5/2019,orange p71,45,70,,,,,"silty clay, FGR",moist,"F/M, F/F","7.5 YR, 3/2",,
,EET-2,7/5/2019,orange p71,70,89,,,,,"silty clay, FGR",saturated,"F/F, F/M","7.5 YR, 3/4",,
,EET-2,7/5/2019,orange p71,89,106,,,,fibrous,silty clay,saturated,F/M,"7.5 YR, 3/2",,"redox, mottled"
,EET-2,7/5/2019,orange p71,106,115,,,,,silty clay,saturated,F/F,"10 YR, 4/2",,"redox, mottled, gleying"
30,EET-2,7/15/2021,yellow p77,115,128,,,,,sandy clay,moist,C/VF-F,"2.5 Y, 6/2; yellow-orange-green mottled",,
