#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
,KHR-1,7/4/19,orange p70,4.0,32.0,,,,,silty clay,moist,"C/VF, M/F, VF/C","7.5 YR, 2.5/1; mottled yellow",,,KHR-1,Kiln,Mixed Herbaceous,Riparian,silty clay,,SIC,,0.0
,KHR-1,7/4/19,orange p70,32.0,42.0,,,,,sandy clay,moist,"VF/M-C, F/C, M/F","7.5 YR, 3/2; mottled red-orange",,,KHR-1,Kiln,Mixed Herbaceous,Riparian,sandy clay,,SC,,0.0
,KHR-1,7/4/19,orange p70,42.0,50.0,,,,,silty clay,saturated,"VF/F, F/F","7.5 YR, 3/2; mottled red-orange",,,KHR-1,Kiln,Mixed Herbaceous,Riparian,silty clay,,SIC,,0.0
,KHR-1,7/4/19,orange p70,50.0,74.0,,,,,sandy clay,saturated,"VF/F, F/F","10 YR, 4/2; mottled yellow",,,KHR-1,Kiln,Mixed Herbaceous,Riparian,sandy clay,,SC,,0.0
,KHR-1,7/4/19,orange p70,74.0,95.0,,,,,sandy clay,saturated,M/VF,"10 YR, 4/3; mottled orange",,FGR < 15%,KHR-1,Kiln,Mixed Herbaceous,Riparian,sandy clay,,SC,,0.0
,KHR-1,7/4/19,orange p70,95.0,102.0,,,,"fibrous, mycelium?","sandy clay, GR",wet,"VF/M, F/C","10 YR, 4/4; gley, mottled",,"subangular gravels, photo of possible mycelium",KHR-1,Kiln,Mixed Herbaceous,Riparian,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,KHR-1,7/4/19,orange p70,102.0,104.0,,,,,"FGR, CGR",saturated,VF/F,"10 YR, 4/4",,subangular gravels with coarse sand,KHR-1,Kiln,Mixed Herbaceous,Riparian,fgr,CGR,,"(20, 76)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,,,,,0.0
18.0,KET-1,7/5/19,orange p70,0.0,12.0,,,O,,,saturated,"M/C, VF-F/M","5 YR, 2.5/1",,,KET-1,Kiln,Sedge,Terrace,,,,,0.0
,KET-1,7/5/19,orange p70,12.0,20.0,,,A,,silty clay,saturated,"M/F, VF-F/M","7.5 YR, 2.5/1",,gradual transition to A,KET-1,Kiln,Sedge,Terrace,silty clay,,SIC,,0.0
