#,well_id,date,source,start_depth_cm,stop_depth_cm,start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil_texture_code,gravel size,gravel amount,gravel_amount_percent
27,KHF-1,6/29/2021,yellow p55,84,100,,,,,"sandy clay, FGR",wet non-satiated,F/VF,7.5 YR 3/3,,"gravel sub-rounded; deepened well, prior depth 84 cm",sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,KHF-1,6/29/2021,yellow p55,100,111,,,,,"sandy clay, VFGR",wet non-satiated,,7.5 YR 3/3,,gravel sub-rounded,sandy clay,VFGR,SC,"(2, 5)","(.35,.6)",0.6
,KHF-1,6/29/2021,yellow p55,111,140,,,,,"sandy clay, VFGR",wet non-satiated,F/VF-F,"7.5 YR, 3/4",,gravel subangular,sandy clay,VFGR,SC,"(2, 5)","(.35,.6)",0.6
,KHF-1,6/29/2021,yellow p55,140,149,,,,,"clay, XCGR",wet non-satiated,F/VF,"7.5 YR, 3/4",,gravel subangular,clay,XCGR,C,"(20,76)","(.35,.6)",0.6
,KHF-1,6/29/2021,yellow p55,149,167,,,,,"clay, XCGR",saturated,F/VF,"10 YR, 3/6",,"a few 50-60 mm gravels, subangular",clay,XCGR,C,"(20,76)","(.35,.6)",0.6
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0
15,KEF-1,6/30/2018,black spiral p19,0,5.08,0,2,,"HO, grassy, fibrous",HO,moist,M/C-F,dark brown,,,ho,,O,,0,0
,KEF-1,6/30/2018,black spiral p19,5.08,27.94,2,11,,,clay,saturated,C/C-F,dark brown,,,clay,,C,,0,0
,KEF-1,6/30/2018,black spiral p19,27.94,38.1,11,15,,fibrous,"clay, ST",saturated,"F/C, C/F-VF",gray brown,,hit two large stones (ST),clay,ST,C,,0,0
,KEF-1,6/30/2018,black spiral p19,38.1,66.04,15,26,,fibrous,"sandy clay, FGR",saturated,M/F-VF,dark gray,,gravels subangular,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,KEF-1,6/30/2018,black spiral p19,66.04,81.28,26,32,,,"sandy clay loam, FGR, CGR",saturated,"F/VF, F/fibrous","gray and tan, mottled orange",,gravels subangular,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
16,KWF-1,6/30/2018,black spiral p19,0,20.32,0,8,,"HO, grassy",clay,moist,M/C-F,dark brown,,,clay,,C,,0,0
,KWF-1,6/30/2018,black spiral p19,20.32,38.1,8,15,,,"sandy clay, FGR",wet,"C/C-F, M/VF",dark brown,,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,KWF-1,6/30/2018,black spiral p19,38.1,67.31,15,26.5,,,"sandy clay loam, FGR, CGR",wet-saturated,C/F-VF,red brown,,,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)",0.35
,KWF-1,6/30/2018,black spiral p19,67.31,83.82,26.5,33,,,"sandy clay, FGR",saturated,,tan,,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,KWF-1,6/30/2018,black spiral p19,83.82,88.9,33,35,,,"sandy clay, VGR (M-F)",,,tan,,,sandy clay,VGR (M-F),SC,"(5, 20)","(0.35, 0.6)",0.6
,KWF-1,6/30/2018,black spiral p19,88.9,91.44,35,36,,,GR,,,,,"loose gravel; bottom of well at 35""",gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
17,KHR-1,7/4/2019,orange p70,0,4,,,,HO,HO,moist,"C/VF, F/M, M/F","7.5 YR, 2.5/1; mottled yellow",,,ho,,O,,0,0
,KHR-1,7/4/2019,orange p70,4,32,,,,,silty clay,moist,"C/VF, M/F, VF/C","7.5 YR, 2.5/1; mottled yellow",,,silty clay,,SIC,,0,0
,KHR-1,7/4/2019,orange p70,32,42,,,,,sandy clay,moist,"VF/M-C, F/C, M/F","7.5 YR, 3/2; mottled red-orange",,,sandy clay,,SC,,0,0
,KHR-1,7/4/2019,orange p70,42,50,,,,,silty clay,saturated,"VF/F, F/F","7.5 YR, 3/2; mottled red-orange",,,silty clay,,SIC,,0,0
,KHR-1,7/4/2019,orange p70,50,74,,,,,sandy clay,saturated,"VF/F, F/F","10 YR, 4/2; mottled yellow",,,sandy clay,,SC,,0,0
,KHR-1,7/4/2019,orange p70,74,95,,,,,sandy clay,saturated,M/VF,"10 YR, 4/3; mottled orange",,FGR < 15%,sandy clay,,SC,,0,0
,KHR-1,7/4/2019,orange p70,95,102,,,,"fibrous, mycelium?","sandy clay, GR",wet,"VF/M, F/C","10 YR, 4/4; gley, mottled",,"subangular gravels, photo of possible mycelium",sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)",0.35
,KHR-1,7/4/2019,orange p70,102,103,,,,,FGR,saturated,VF/F,"10 YR, 4/4",,subangular gravels with coarse sand,fgr,FGR,FGR,"(2, 5)","(0.15, 0.35)",0.35
,KHR-1,7/4/2019,orange p70,103,104,,,,,CGR,saturated,VF/F,"10 YR, 4/4",,subangular gravels with coarse sand,CGR,CGR,CGR,"(20, 76)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,0,0
18,KET-1,7/5/2019,orange p70,0,12,,,O,,,saturated,"M/C, VF-F/M","5 YR, 2.5/1",,,,,,,0,0
,KET-1,7/5/2019,orange p70,12,20,,,A,,silty clay,saturated,"M/F, VF-F/M","7.5 YR, 2.5/1",,gradual transition to A,silty clay,,SIC,,0,0
,KET-1,7/5/2019,orange p70,20,42,,,,"fibers with redox, 1 mm buffer","sandy clay, FGR",saturated,VF/M,"7.5 YR, 3/2",,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,KET-1,7/5/2019,orange p70,42,59,,,,,sandy clay,saturated,"F/C, VF-F/M","7.5 YR, 4/1",,,sandy clay,,SC,,0,0
,KET-1,7/5/2019,orange p70,59,80,,,,fibers with redox,"sandy clay, FGR",wet,F-VF/M,"10 YR, 4/2",,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,KET-1,7/5/2019,orange p70,80,84,,,,,GR,wet,,,,"subangular gravels, medium to coarse",gr,GR,GR,"(5, 20)","(0.15, 0.35)",0.35
,KET-1,7/5/2019,orange p70,84,110,,,,,"sandy clay, VGR",wet,F/F-VF,"7.5 YR, 4/3",,,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)",0.6
,,,,,,,,,,,,,,,,,,,,0,0
19,EET-2,7/5/2019,orange p71,0,4,,,O,,,moist,"F-VF/M, M/F","10 YR, 2.5/1",,color darker,,,O,,0,0
,EET-2,7/5/2019,orange p71,4,10,,,,fibrous,silty clay,moist,"F/VF, M/C","2.5 YR, 2.5/1",,,silty clay,,SIC,,0,0
,EET-2,7/5/2019,orange p71,10,45,,,,,"silty clay, FGR",moist,"F/M, C/F","5 YR, 2/3",,pebbles 1-3 mm,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)",0.35
,EET-2,7/5/2019,orange p71,45,70,,,,,"silty clay, FGR",moist,"F/M, F/F","7.5 YR, 3/2",,,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)",0.35
,EET-2,7/5/2019,orange p71,70,89,,,,,"silty clay, FGR",saturated,"F/F, F/M","7.5 YR, 3/4",,,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)",0.35
,EET-2,7/5/2019,orange p71,89,106,,,,fibrous,silty clay,saturated,F/M,"7.5 YR, 3/2",,"redox, mottled",silty clay,,SIC,,0,0
,EET-2,7/5/2019,orange p71,106,115,,,,,silty clay,saturated,F/F,"10 YR, 4/2",,"redox, mottled, gleying",silty clay,,SIC,,0,0
30,EET-2,7/15/2021,yellow p77,115,128,,,,,sandy clay,moist,C/VF-F,"2.5 Y, 6/2; yellow-orange-green mottled",,,sandy clay,,SC,,0,0
,EET-2,7/15/2021,yellow p77,128,130,,,,,GR,moist,,,,thin layer of coarse gravel 28-40 mm,gr,GR,GR,"(5, 20)","(0.15, 0.35)",0.35
,EET-2,7/15/2021,yellow p77,130,135,,,,fibrous,sandy clay,moist,C/M,"2.5 Y, 5/2",,coarse sand,sandy clay,,SC,,0,0
,EET-2,7/15/2021,yellow p77,135,136,,,,,GR,,,,,"hit rock(s), cannot auger beyond",gr,GR,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
20,LHT-1,7/6/2019,orange p71,0,10,,,O,"peat, fibrous, crumbly",,moist,"F-VF/M, M/C","5 YR, 2.5/1",,"peat, fibrous, crumbly",,,O,,0,0
,LHT-1,7/6/2019,orange p71,10,31,,,A,,silty clay,moist,"VF/C, F/F","5 YR, 2.5/1",,,silty clay,,SIC,,0,0
,LHT-1,7/6/2019,orange p71,31,48,,,A,,clay,moist,"F/F, F/VF, F/M","5 Y, 2.5/1; mottled red",,fine mottling,clay,,C,,0,0
,LHT-1,7/6/2019,orange p71,48,54,,,A,,silty clay,saturated,F/F,"7.5 YR, 2.5/2",,,silty clay,,SIC,,0,0
,LHT-1,7/6/2019,orange p71,54,76,,,E,,"clay, FGR, sticky",saturated,F/F,"10 YR, 4/2; mottled orange",,,clay,"FGR, sticky",C,"(2, 5)","(0.15, 0.35)",0.35
,LHT-1,7/6/2019,orange p71,76,95,,,,,"sandy clay, FGR, GR, sticky",saturated,F/F,"10 YR, 4/3; red-orange sand",,red-orange sand appeared to be breakdown of gravel,sandy clay,"FGR, GR, sticky",SC,"(2, 5)","(0.15, 0.35)",0.35
,LHT-1,7/6/2019,orange p71,95,109,,,,,sandy clay,saturated,F/F,"2.5 Y, 3/3; gley, mottled",,mottled color 5Y 4/1 and 5Y 4/N,sandy clay,,SC,,0,0
,LHT-1,7/6/2019,orange p71,109,115,,,,fibrous,"sandy clay, GR",saturated,F/F,"5 Y 4/1, gley 1 N/3",,,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
21,LET-1,7/6/2019,orange p73,0,7.5,,,O,crumbly humus,,moist,"M/V-VF, F/M","5 YR, 2.5/1",,,,,O,,0,0
,LET-1,7/6/2019,orange p73,7.5,30,,,,,clay,moist,"C/F-VF, F/M","5 YR, 2.5/1",,,clay,,C,,0,0
,LET-1,7/6/2019,orange p73,30,48,,,,,silty clay,moist,"F/M, F/F","5 YR, 2.5/1; fine red-orange mottle",,,silty clay,,SIC,,0,0
,LET-1,7/6/2019,orange p73,48,58,,,,bits of charcoal at 58 cm,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,silty clay,,SIC,,0,0
,LET-1,7/6/2019,orange p73,58,67,,,,,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,silty clay,,SIC,,0,0
,LET-1,7/6/2019,orange p73,67,93,,,,layer of charcoal at 93 cm,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,silty clay,,SIC,,0,0
,LET-1,7/6/2019,orange p73,93,100,,,,,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,silty clay,,SIC,,0,0
,LET-1,7/6/2019,orange p73,100,110,,,,fibrous,silty clay,saturated,"F/C, M/F","7.5 YR, 3/1; bright red-orange mottle",,,silty clay,,SIC,,0,0
,LET-1,7/6/2019,orange p73,110,116,,,,"fibrous, charcoal bits at 116",sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,sandy clay,,SC,,0,0
,LET-1,7/6/2019,orange p73,116,120,,,,fibrous,sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,sandy clay,,SC,,0,0
,,,,,,,,,,,,,,,,,,,,,
22,LWT-1,7/6/2019,orange p73,0,13,,,O,"earthworm, crumbly humus",,moist,M/VF-F,"5 YR, 2.5/1",,,,,O,,0,0
,LWT-1,7/6/2019,orange p73,13,29,,,,,clay,moist,"C/F-VF, F/M ","5 YR, 2.5/1",,,clay,,C,,0,0
,LWT-1,7/6/2019,orange p73,29,55,,,,,silty clay,moist,C/F-VF,"2.5 YR, 3/1; fine mottled",,,silty clay,,SIC,,0,0
,LWT-1,7/6/2019,orange p73,55,82,,,,fibrous,clay,saturated,F/F-VF,"5 YR, 3/1; fine red-orange mottle, black streaks",,,clay,,C,,0,0
,LWT-1,7/6/2019,orange p73,82,100,,,,fibrous,sandy clay,saturated,C/VF-F,"7.5 YR, 2.5/1",,,sandy clay,,SC,,0,0
,LWT-1,7/6/2019,orange p73,100,108,,,,"fibrous, charcoal",sandy clay,saturated,VF/F-M,"10 YR, 2/1",,,sandy clay,,SC,,0,0
,,,,,,,,,,,,,,,,,,,,0,0
23,B3S,8/12/2019,orange p106,0,6,,,O,fibrous,,dry,"M/VF-M, F/C",,,"soil survey only, 1.5 m downstream of well, no well install",,,O,,0,0
