#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,well_field_id,rename_reason,rename_date,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
,KWT-2,6/14/25,2015-25 Or V3 p62,38,60,,,A,fibrous,"sandy clay, VMGR",saturated,C/VF-F,"5 YR, 2.5/1",,gravel subangular,KWT-2,,,,,,,,,,,
,KWT-2,6/14/25,2015-25 Or V3 p62,60,75,,,A,many fibrous clumps,"clay, VMGR",saturated,"M/F, C/VF","5 YR, 2.5/1",,gravel sub-rounded,KWT-2,,,,,,,,,,,
,KWT-2,6/14/25,2015-25 Or V3 p62,75,91,,,A,many fibrous clumps,clay,saturated,M/VF-F,"5 YR, 2.5/1",,,KWT-2,,,,,,,,,,,
,KWT-2,6/14/25,2015-25 Or V3 p62,91,92,,,,,VCB,,,,,"hit rock, installed well on top",KWT-2,,,,,,,,,,,
39,KER-2,6/15/25,2015-25 Or V3 p66,0,3,,,Oi,thatch,HO,,,,,"augered 5 holes in same area, hit rounded gravel at 65 in all cases, deepest augered to 80 cm where well installed",KER-2,,,,Kiln,Sedge,Riparian,ho,,HO,,0
,KER-2,6/15/25,2015-25 Or V3 p66,3,15,,,Oea,,sandy clay,moist,"M/VF, C/F","5 YR, 3/1",,,KER-2,,,,Kiln,Sedge,Riparian,sandy clay,,SC,,0
,KER-2,6/15/25,2015-25 Or V3 p66,15,42,,,A,,sandy clay,moist,"M/VF-F, C/M","5 YR, 2.5/2",,,KER-2,,,,Kiln,Sedge,Riparian,sandy clay,,SC,,0
,KER-2,6/15/25,2015-25 Or V3 p66,42,55,,,A,,silty clay,wet,M/VF-F,"5 YR, 2.5/2",,,KER-2,,,,Kiln,Sedge,Riparian,silty clay,,SIC,,0
,KER-2,6/15/25,2015-25 Or V3 p66,55,64,,,A,,"sandy clay, MGR",saturated,"M/VF, C/F","7.5 YR, 4/1",,"gravel rounded, hit CGR or larger at 65 cm",KER-2,,,,Kiln,Sedge,Riparian,sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,KER-2,6/15/25,2015-25 Or V3 p66,64,80,,,,,MGR,saturated,"M/VF-F, C/M",,,"10-20% coarse gravel, all enmeshed with coarse roots, interstices filled with fine gravel and coarse sand, all rounded",KER-2,,,,Kiln,Sedge,Riparian,mgr,,GR,,0
40,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),0,13,,,O,humus,HO,dry,M/VF-M,"5 YR, 3/2",,,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),13,32,,,,HO,"clay loam, FGR",dry-moist,"M/VF-F, C/M","5 YR, 2.5/1",,,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),32,38,,,,,clay loam,dry,"C/VF, F/F","7.5 YR, 3/2",,fine gravel < 35%,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),38,46,,,,,silty clay,dry,F/VF,"7.5 YR, 3/3",,fine gravel < 35%,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),46,60,,,,,"silty clay, FGR",dry,F/VF-F,"7.5 YR, 4/2",,gravel sub-rounded,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),60,68,,,,,"sandy clay, VFGR",dry-moist,F/VF-F,"7.5 YR, 5/3",,,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),68,80,,,,,"sandy clay, VFGR",moist,F/VF-F,"7.5 YR, 5/3",,,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),80,91,,,,,sandy clay,moist,F/VF-F,"7.5 YR, 5/4; orange mottled",,,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p78 for E6S (temp),91,100,,,,,"clay, FGR",moist,F/VF-F,"7.5 YR, 5/4; orange mottled, purple fragments",,,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),100,108,,,,,"sandy clay, VFGR",wet,C/VF-M,"10 YR, 4/4",,gravel sub-rounded; deepened original well,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),108,113,,,,,"sandy clay, GR",wet,C/VF-M,"10 YR, 4/1; orange mottled, more gray",,gravel sub-rounded to 40 mm,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),113,120,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 4/3; orange mottled",,gravel sub-rounded to 40 mm,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),120,126,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),126,130,,,,,"sandy clay, GR",saturated,C/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),130,138,,,,,"sandy clay, XGR",saturated,F/VF-F,"10 YR, 4/4",,gravel sub-rounded to 40 mm,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),138,150,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4",,finer gravel,,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),150,165,,,,,"sandy clay, XGR",saturated,,"10 YR, 3/6",,"gravel sub-angular, larger to 45 mm",,,,,,,,,,,,
,KHT-XE5S,7/16/21,yellow p77 at E5S (real data),165,179,,,,,FGR,saturated,,,,"gravel rounded, mostly 2-4 mm, a few to 16 mm",,,,,,,,,,,,
