#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil texture code,gravel size,gravel amount
,KHR-1,7/4/19,orange p70,95.0,102.0,,,,"fibrous, mycelium?","sandy clay, GR",wet,"VF/M, F/C","10 YR, 4/4; gley, mottled",,"subangular gravels, photo of possible mycelium",sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,KHR-1,7/4/19,orange p70,102.0,104.0,,,,,"FGR, CGR",saturated,VF/F,"10 YR, 4/4",,subangular gravels with coarse sand,fgr,CGR,,"(20, 76)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,
18.0,KET-1,7/5/19,orange p70,0.0,12.0,,,O,,,saturated,"M/C, VF-F/M","5 YR, 2.5/1",,,,,,,
,KET-1,7/5/19,orange p70,12.0,20.0,,,A,,silty clay,saturated,"M/F, VF-F/M","7.5 YR, 2.5/1",,gradual transition to A,silty clay,,SIC,,
,KET-1,7/5/19,orange p70,20.0,42.0,,,,"fibers with redox, 1 mm buffer","sandy clay, FGR",saturated,VF/M,"7.5 YR, 3/2",,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KET-1,7/5/19,orange p70,42.0,59.0,,,,,sandy clay,saturated,"F/C, VF-F/M","7.5 YR, 4/1",,,sandy clay,,SC,,
,KET-1,7/5/19,orange p70,59.0,80.0,,,,fibers with redox,"sandy clay, FGR",wet,F-VF/M,"10 YR, 4/2",,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KET-1,7/5/19,orange p70,80.0,84.0,,,,,GR,wet,,,,"subangular gravels, medium to coarse",gr,,,,
,KET-1,7/5/19,orange p70,84.0,110.0,,,,,"sandy clay, VGR",wet,F/F-VF,"7.5 YR, 4/3",,,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,,,,,,,,,,,,,,,,,,,,
19.0,EET-2,7/5/19,orange p71,0.0,4.0,,,O,,,moist,"F-VF/M, M/F","10 YR, 2.5/1",,color darker,,,,,
,EET-2,7/5/19,orange p71,4.0,10.0,,,,fibrous,silty clay,moist,"F/VF, M/C","2.5 YR, 2.5/1",,,silty clay,,SIC,,
,EET-2,7/5/19,orange p71,10.0,45.0,,,,,"silty clay, FGR",moist,"F/M, C/F","5 YR, 2/3",,pebbles 1-3 mm,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EET-2,7/5/19,orange p71,45.0,70.0,,,,,"silty clay, FGR",moist,"F/M, F/F","7.5 YR, 3/2",,,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EET-2,7/5/19,orange p71,70.0,89.0,,,,,"silty clay, FGR",saturated,"F/F, F/M","7.5 YR, 3/4",,,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EET-2,7/5/19,orange p71,89.0,106.0,,,,fibrous,silty clay,saturated,F/M,"7.5 YR, 3/2",,"redox, mottled",silty clay,,SIC,,
,EET-2,7/5/19,orange p71,106.0,115.0,,,,,silty clay,saturated,F/F,"10 YR, 4/2",,"redox, mottled, gleying",silty clay,,SIC,,
,,,,,,,,,,,,,,,,,,,,
20.0,LHT-1,7/6/19,orange p71,0.0,10.0,,,O,"peat, fibrous, crumbly",,moist,"F-VF/M, M/C","5 YR, 2.5/1",,"peat, fibrous, crumbly",,,,,
,LHT-1,7/6/19,orange p71,10.0,31.0,,,A,,silty clay,moist,"VF/C, F/F","5 YR, 2.5/1",,,silty clay,,SIC,,
,LHT-1,7/6/19,orange p71,31.0,48.0,,,A,,clay,moist,"F/F, F/VF, F/M","5 Y, 2.5/1; mottled red",,fine mottling,clay,,C,,
,LHT-1,7/6/19,orange p71,48.0,54.0,,,A,,silty clay,saturated,F/F,"7.5 YR, 2.5/2",,,silty clay,,SIC,,
,LHT-1,7/6/19,orange p71,54.0,76.0,,,E,,"clay, FGR, sticky",saturated,F/F,"10 YR, 4/2; mottled orange",,,clay,"FGR, sticky",C,"(2, 5)","(0.15, 0.35)"
,LHT-1,7/6/19,orange p71,76.0,95.0,,,,,"sandy clay, FGR, GR, sticky",saturated,F/F,"10 YR, 4/3; red-orange sand",,red-orange sand appeared to be breakdown of gravel,sandy clay,"FGR, GR, sticky",SC,"(2, 5)","(0.15, 0.35)"
,LHT-1,7/6/19,orange p71,95.0,109.0,,,,,sandy clay,saturated,F/F,"2.5 Y, 3/3; gley, mottled",,mottled color 5Y 4/1 and 5Y 4/N,sandy clay,,SC,,
,LHT-1,7/6/19,orange p71,109.0,115.0,,,,fibrous,"sandy clay, GR",saturated,F/F,"5 Y 4/1, gley 1 N/3",,,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,
21.0,LET-1,7/6/19,orange p73,0.0,7.5,,,O,crumbly humus,,moist,"M/V-VF, F/M","5 YR, 2.5/1",,,,,,,
,LET-1,7/6/19,orange p73,7.5,30.0,,,,,clay,moist,"C/F-VF, F/M","5 YR, 2.5/1",,,clay,,C,,
,LET-1,7/6/19,orange p73,30.0,48.0,,,,,silty clay,moist,"F/M, F/F","5 YR, 2.5/1; fine red-orange mottle",,,silty clay,,SIC,,
,LET-1,7/6/19,orange p73,48.0,58.0,,,,bits of charcoal at 58 cm,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,silty clay,,SIC,,
,LET-1,7/6/19,orange p73,58.0,67.0,,,,,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,silty clay,,SIC,,
,LET-1,7/6/19,orange p73,67.0,93.0,,,,layer of charcoal at 93 cm,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,silty clay,,SIC,,
,LET-1,7/6/19,orange p73,93.0,100.0,,,,,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,silty clay,,SIC,,
,LET-1,7/6/19,orange p73,100.0,110.0,,,,fibrous,silty clay,saturated,"F/C, M/F","7.5 YR, 3/1; bright red-orange mottle",,,silty clay,,SIC,,
,LET-1,7/6/19,orange p73,110.0,116.0,,,,"fibrous, charcoal bits at 116",sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,sandy clay,,SC,,
,LET-1,7/6/19,orange p73,116.0,120.0,,,,fibrous,sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,sandy clay,,SC,,
,,,,,,,,,,,,,,,,,,,,
22.0,LWT-1,7/6/19,orange p73,0.0,13.0,,,O,"earthworm, crumbly humus",,moist,M/VF-F,"5 YR, 2.5/1",,,,,,,
,LWT-1,7/6/19,orange p73,13.0,29.0,,,,,clay,moist,"C/F-VF, F/M ","5 YR, 2.5/1",,,clay,,C,,
,LWT-1,7/6/19,orange p73,29.0,55.0,,,,,silty clay,moist,C/F-VF,"2.5 YR, 3/1; fine mottled",,,silty clay,,SIC,,
,LWT-1,7/6/19,orange p73,55.0,82.0,,,,fibrous,clay,saturated,F/F-VF,"5 YR, 3/1; fine red-orange mottle, black streaks",,,clay,,C,,
,LWT-1,7/6/19,orange p73,82.0,100.0,,,,fibrous,sandy clay,saturated,C/VF-F,"7.5 YR, 2.5/1",,,sandy clay,,SC,,
,LWT-1,7/6/19,orange p73,100.0,108.0,,,,"fibrous, charcoal",sandy clay,saturated,VF/F-M,"10 YR, 2/1",,,sandy clay,,SC,,
,,,,,,,,,,,,,,,,,,,,
23.0,B3S,8/12/19,orange p106,0.0,6.0,,,O,fibrous,,dry,"M/VF-M, F/C",,,"soil survey only, 1.5 m downstream of well, no well install",,,,,
,B3S,8/12/19,orange p106,6.0,12.0,,,A,HO,clay,dry-moist,"F/M, M/VF-F",,,,clay,,C,,
,B3S,8/12/19,orange p106,12.0,21.0,,,A,HO,clay,moist,"F/M, M/VF-F",,,,clay,,C,,
,B3S,8/12/19,orange p106,21.0,36.0,,,A,HO,clay,moist,"C/VF, F/M, F/F",,,,clay,,C,,
,B3S,8/12/19,orange p106,36.0,52.0,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",,,,clay,,C,,
,B3S,8/12/19,orange p106,52.0,79.0,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",more organic material than mineral,,,clay,,C,,
