well_id,2018_146,2018_161,2018_176,2018_191,2018_206,2018_221,2018_236,2018_251,2018_266,2018_281,2018_296,2018_311,2019_146,2019_161,2019_176,2019_191,2019_206,2019_221,2019_236,2019_251,2019_266,2019_281,2019_296,2019_311,2021_146,2021_161,2021_176,2021_191,2021_206,2021_221,2021_236,2021_251,2021_266,2021_281,2021_296,2021_311,2024_146,2024_161,2024_176,2024_191,2024_206,2024_221,2024_236,2024_251,2024_266,2024_281,2024_296,2024_311,2025_146,2025_161,2025_176,2025_191,2025_206,2025_221,2025_236,2025_251,2025_266,2025_281,2025_296,2025_311
KHT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1119,83.7687,86.5119,88.3407,63.3471,55.7742,,-4.5217,-30.5625,-19.2425,13.3575,34.8975,44.1475,49.3275,54.5075,53.0875,46.9875,47.1975,39.8775,31.5475,0,,16.7175,43.2275,,,,,,,,
KHT-XD6N,27.03,,82.85705,,,,,,,,,,,2.98835,,56.455,95.6217,,,,,,,,,85.1001,76.816,141.2304,179.94,192.5384,192.8432,193.7576,194.672,189.0367,,19.3104,1.02,45.015,94.09,121.32,146.51,176.99,188.58,,189.49,188.88,,,50.2,,98.36,134.93,,,,,,,,
KHT-XE4S,,,47.1525,61.9042,63.7042,63.3125,68.2302202,,65.6375,53.4375,,,,-2.0125,,3.0375,43.7708,54.8375,63.7042,62.8375,42.5708,35.2042,31.6375,,,30.1063,55.2015,65.8695,65.8695,66.7839,,67.3935,,54.4742,,4.5031,-1.56,6.97,41.31,65.29,68.14,68.64,,66.41,48.12,40.5,36.03,33.69,,,,,,,,,,,,
KHT-XE5S,7.7433,,51.7171,91.02564236,90.58517201,90.5092,92.6092,,87.6758,84.15915,,,,2.094766522,9.198980656,25.00916177,61.84304308,86.41408393,90.06327637,90.48022961,84.2202826,79.32753964,72.24369405,,,67.3609084,88.36002118,92.20046381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHT-XE6S,4.5567,,48.90085,,,,,,,,,,,-1.03995,,4.5434,65.9434,87.4767,,,,,,,,39.7583,80.0935,138.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWF-1,,,54.6792,74.1333,74.6637782,80,82.54886261,,72.96733971,50.73335,,,,-1.95,,16.2,35.8,56,70.4333,73.6,45.0333,28.2,21.8,,,10.9672,15.844,31.1856,75.28,76.296,77.7184,76.1944,18.892,22.4367,,1.2136,-2.435,-0.1,0.205,1.425,2.035,4.775,3.155,5.385,3.865,3.255,3.255,0.815,,,,,,,,,,,,
KWF-2,,,71.2779,,,,,,,,,,,-1.044587273,3.384889687,7.259826724,36.51973777,56.22173423,66.53821267,67.30675102,21.22856223,8.382622702,9.135443091,,,59.35542368,86.89037695,128.3966287,158.9904787,171.8848523,,,,,,19.5312,,6.358609923,37.58563961,71.27549066,109.96,109.7488601,111.5751164,112.4803784,111.574857,109.4923197,104.788439,98.77230549,,,65.87778172,89.48990764,135.1058058,137.4460354,137.3592211,138.0691543,138.3075362,41.34015032,20.19653238,21.96620191
KWF-XE8S,-2.2463,,17.17415,,,,,,,,,,,1.3512,,15.6846,44.6512,,,,,,,,,44.196,84.495,105.831,105.2214,,,,,,,16.7278,-0.745,11.7,47.815,94.955,106.235,,,,,,,105.835,,,,,,,,,,,,
KWR-1,,,23.8242,30.28785042,31.87768169,32.1833,36.37617293,37.92124107,36.52284531,37.22409057,36.49799351,36.1917768,,-8.38335,,5.1167,22.1833,24.2167,28.5833,30.25,29.5167,28.95,30.15,,,,34.257,34.257,34.257,35.1714,34.0538,34.8666,34.8666,33.4617,,16.5786,-9.995,6.525,24.055,31.165,34.415,,36.545,36.855,36.245,36.245,35.125,34.715,2.403587399,11.37138005,23.89552441,29.52616695,32.5144816,34.5776451,34.68494122,35.48723972,36.18248951,34.94118725,33.02541824,34.3001581
KWR-XE1N,,,41.15,43.95,45.4167,46.0833,47.85,,48.75,49.41665,,,,-6.85,,22.1167,38.0167,41.5833,44.8167,46.05,45.4833,45.7167,46.6167,,,46.9892,50.342,50.7484,51.7644,51.6628,52.0692,51.4596,50.4436,48.2867,,37.9468,,23.925,40.18,44.96,47.8,48.72,49.02,49.83,49.83,49.43,48.21,44.75,,,,,,,,,,,,
KWT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.46945902,46.83109146,52.46606898,56.1007505,55.51664797,50.38904285,50.76392202,48.66073323,43.53570683,43.22039757
LET-1,,,,,,,,,,,,,,,,32.8292,54.8292,67.0625,81.1625,89.7958,64.6625,52.1958,43.9958,,32.9281,45.2217,61.4777,78.0385,108.5185,108.5185,110.0425,110.0425,110.3473,110.3473,,17.8913,3.5625,24.3747275,41.34472033,57.90324525,78.89968375,99.51366445,105.9057512,106.3742362,97.33822709,80.21774926,65.54889296,54.63552717,,,,,,,,,,,,
LHT-1,,,,,,,,,,,,,,,,38.7333,59.5,72.0333,84.7,89.1,,97.18342955,94.56056833,,38.0296,51.7456,68.3064,84.664,93.4016,92.5888,98.0752,94.1128,94.4176,98.6848,,16.592,6.8425,30.97470281,50.84600937,67.84780746,84.83148149,92.4967416,94.85859157,97.6245497,95.64771233,90.27655903,87.46065462,70.54409246,,,,,,,,,,,,
LWT-1,,,,,,,,,,,,,,,,28.3958,51.6625,62.5958,73.0292,78.3958,55.5292,48.9958,46.4292,,37.6113,47.4665,60.1665,64.2305,71.1393,76.3209,79.9785,81.5025,77.8449,47.3649,,28.1625,11.9025,29.71630943,43.6198708,57.74475066,69.55185266,71.44917524,72.73796627,72.54909566,72.89911223,69.58396913,58.91384002,51.03463669,,,,,,,,,,,,
