"","well_id","timestamp","water_binary","ground_to_water"
"557","KER-XD5N",2019-09-02,1,-42.0983333333333
"596","KER-XD5N",2019-10-20,1,-11.8316666666667
"35","KER-XE3S",2018-07-17,1,NA
"30","KER-XE3S",2018-07-27,1,NA
"67","KER-XE3S",2018-08-10,1,NA
"50","KER-XE3S",2018-08-25,1,NA
"29","KER-XE3S",2018-09-16,1,NA
"60","KER-XE3S",2018-10-01,1,NA
"55","KER-XE3S",2018-10-14,1,NA
"32","KER-XE3S",2018-11-18,1,NA
"48","KER-XE3S",2019-06-03,1,NA
"63","KER-XE3S",2019-06-17,1,NA
"42","KER-XE3S",2019-07-05,1,NA
"47","KER-XE3S",2019-07-26,1,NA
"56","KER-XE3S",2019-08-04,1,NA
"33","KER-XE3S",2019-08-20,1,NA
"57","KER-XE3S",2019-09-02,1,NA
"66","KER-XE3S",2019-10-05,1,NA
"61","KER-XE3S",2019-10-20,1,NA
"126","KET-1",2019-07-26,1,19.085
"19","KET-1",2019-08-04,1,14.475
"7","KET-1",2019-08-05,1,14.575
"21","KET-1",2019-08-06,1,14.475
"524","KET-1",2019-08-20,1,10.835
"553","KET-1",2019-09-02,1,7.40166666666667
"621","KET-1",2019-10-20,1,3.50166666666667
"235","KFF-XD6S",2018-06-01,1,-19.1379166666667
"236","KFF-XD6S",2018-06-19,1,-37.4470833333333
"217","KFF-XD6S",2018-07-01,1,-86.3420833333333
"286","KFF-XD6S",2018-07-17,0,-97.4333333333333
"275","KFF-XD6S",2018-07-27,0,-97.4333333333333
"371","KFF-XD6S",2018-08-10,0,-97.4333333333333
"116","KFF-XD6S",2018-10-01,0,-97.4333333333333
"398","KFF-XD6S",2018-11-18,1,-18.3
"45","KFF-XD6S",2019-06-03,1,-5.7
"449","KFF-XD6S",2019-06-17,1,-7.32541666666667
"467","KFF-XD6S",2019-07-05,1,-23.2254166666667
"136","KFF-XD6S",2019-07-26,1,-82.1733333333333
"108","KFF-XD6S",2019-08-04,0,-97.4333333333333
"556","KFF-XD6S",2019-08-20,0,-97.4333333333333
"225","KFF-XE8S",2018-06-01,1,1.7875
"230","KFF-XE8S",2018-06-19,1,-6.36166666666666
"223","KFF-XE8S",2018-07-01,1,-28.9041666666667
"249","KFF-XE8S",2018-07-17,0,-50.3845833333333
"252","KFF-XE8S",2018-07-27,0,-50.3845833333333
"338","KFF-XE8S",2018-08-10,0,-50.3845833333333
"412","KFF-XE8S",2018-11-18,1,-27.8845833333333
"450","KFF-XE8S",2019-06-17,1,-1.80999999999999
"470","KFF-XE8S",2019-07-05,1,-16.1433333333333
"131","KFF-XE8S",2019-07-26,1,-44.69125
"92","KFF-XE8S",2019-08-04,0,-50.3845833333333
"93","KFF-XE8S",2019-09-21,0,-50.3845833333333
"179","KFR-XE1S",2018-06-01,1,-44.0545833333333
"229","KFR-XE1S",2018-06-19,1,-52.7329166666667
"234","KFR-XE1S",2018-07-01,1,-55.69625
"246","KFR-XE1S",2018-07-17,1,-60.4783333333333
"273","KFR-XE1S",2018-07-27,1,-61.445
"362","KFR-XE1S",2018-08-10,1,-60.3833333333333
"433","KFR-XE1S",2018-08-25,1,-61.45
"434","KFR-XE1S",2018-09-16,1,-61.3833333333333
"385","KFR-XE1S",2018-10-01,1,-65.0166666666667
"400","KFR-XE1S",2018-10-14,1,-58.8166666666667
"351","KFR-XE1S",2018-11-18,1,-57.45
"457","KFR-XE1S",2019-06-17,1,-18.80875
"463","KFR-XE1S",2019-07-05,1,-46.5754166666667
"149","KFR-XE1S",2019-07-26,1,-56.1233333333333
"25","KFR-XE1S",2019-08-04,1,-58.5
"11","KFR-XE1S",2019-08-05,1,-58.3
"8","KFR-XE1S",2019-08-06,1,-57.5
"605","KFR-XE1S",2019-08-20,1,-62.5066666666667
"583","KFR-XE1S",2019-09-02,1,-63.04
"581","KFR-XE1S",2019-09-21,1,-60.0733333333333
"504","KFR-XE1S",2019-10-05,1,-57.6733333333333
"544","KFR-XE1S",2019-10-20,1,-57.44
"191","KFR-XE2S",2018-06-01,1,-3.40375
"173","KFR-XE2S",2018-06-19,1,-5.83791666666667
"174","KFR-XE2S",2018-07-01,1,-4.56791666666667
"257","KFR-XE2S",2018-07-17,1,-7.3975
"300","KFR-XE2S",2018-07-27,1,-8.29750000000001
"355","KFR-XE2S",2018-08-10,1,-7.0025
"364","KFR-XE2S",2018-08-25,1,-8.9025
"421","KFR-XE2S",2018-09-16,1,-10.0358333333333
"354","KFR-XE2S",2018-10-01,1,-9.4025
"340","KFR-XE2S",2018-10-14,1,-9.9025
"409","KFR-XE2S",2018-11-18,1,-9.46916666666666
"444","KFR-XE2S",2019-06-17,1,1.90541666666666
"484","KFR-XE2S",2019-07-05,1,-3.99458333333334
"155","KFR-XE2S",2019-07-26,1,-4.77583333333333
"17","KFR-XE2S",2019-08-04,1,-6.81916666666666
"520","KFR-XE2S",2019-08-20,1,-8.22583333333334
"521","KFR-XE2S",2019-09-02,1,-7.95916666666667
"612","KFR-XE2S",2019-09-21,1,-7.92583333333334
"502","KFR-XE2S",2019-10-05,1,-7.82583333333333
"577","KFR-XE2S",2019-10-20,1,-7.82583333333333
"201","KHF-1",2018-07-01,1,-64.2079166666667
"259","KHF-1",2018-07-17,1,-84.245
"256","KHF-1",2018-07-27,0,-81.08333335
"402","KHF-1",2018-08-10,0,-81.08333335
"377","KHF-1",2018-08-25,0,-81.08333335
"414","KHF-1",2018-09-16,1,-77.3833333333333
"388","KHF-1",2018-10-01,1,-69.3833333333333
"415","KHF-1",2018-10-14,1,-55.1166666666667
"406","KHF-1",2018-11-18,1,-30.0833333333333
"44","KHF-1",2019-06-03,1,-0.75
"446","KHF-1",2019-06-17,1,16.59125
"491","KHF-1",2019-07-05,1,-18.60875
"138","KHF-1",2019-07-26,1,-64.69
"541","KHF-1",2019-10-05,1,-43.54
"584","KHF-1",2019-10-20,1,-36.2733333333333
"176","KHF-XD4S",2018-06-01,1,-33.8829166666667
"195","KHF-XD4S",2018-07-01,0,-81.965
"264","KHF-XD4S",2018-07-27,0,-81.965
"322","KHF-XD4S",2018-08-10,0,-81.965
"80","KHF-XD4S",2018-10-01,0,-81.965
"70","KHF-XD4S",2019-06-03,1,-14.4416666666667
"439","KHF-XD4S",2019-06-17,1,-15.1670833333333
"481","KHF-XD4S",2019-07-05,1,-75.83375
"130","KHF-XD4S",2019-07-26,NA,NA
"107","KHF-XD4S",2019-08-04,0,-81.965
"52","KHR-XD1N",2019-06-03,1,NA
"38","KHR-XD1N",2019-06-17,1,9.90000000000001
"496","KHR-XD1N",2019-07-05,1,-30.2254166666667
"162","KHR-XD1N",2019-07-26,1,-41.74
"558","KHR-XD1N",2019-09-02,1,-47.0233333333333
"560","KHR-XD1N",2019-10-20,1,-46.59
"224","KHR-XD2N",2018-06-01,1,-28.06625
"171","KHR-XD2N",2018-06-19,1,-41.1895833333333
"185","KHR-XD2N",2018-07-01,1,-55.2654166666667
"306","KHR-XD2N",2018-07-17,1,-61.0125
"287","KHR-XD2N",2018-07-27,1,-59.6458333333333
"378","KHR-XD2N",2018-08-10,1,-59.5841666666667
"343","KHR-XD2N",2018-08-25,1,-60.8841666666667
"394","KHR-XD2N",2018-09-16,1,-57.5841666666667
"390","KHR-XD2N",2018-10-01,1,-55.7175
"382","KHR-XD2N",2018-10-14,1,-53.9508333333333
"347","KHR-XD2N",2018-11-18,1,-47.2508333333333
"71","KHR-XD2N",2019-06-03,NA,NA
"627","KHR-XD2N",2019-09-03,1,17.3925
"534","KHR-XD2N",2019-09-04,1,17.5925
"611","KHR-XD2N",2019-09-05,1,17.3925
"237","KHR-XE2N",2018-06-01,1,-55.2029166666667
"240","KHR-XE2N",2018-06-19,1,-60.4945833333333
"227","KHR-XE2N",2018-07-01,1,-62.92875
"270","KHR-XE2N",2018-07-17,1,-66.285
"271","KHR-XE2N",2018-07-27,1,-66.6516666666667
"430","KHR-XE2N",2018-08-10,1,-65.6566666666667
"411","KHR-XE2N",2018-08-25,1,-66.49
"356","KHR-XE2N",2018-09-16,1,-65.7566666666667
"323","KHR-XE2N",2018-10-01,1,-65.89
"401","KHR-XE2N",2018-10-14,1,-64.19
"36","KHR-XE2N",2018-11-18,1,-58.0566666666667
"205","KHT-XD3S",2018-06-01,1,-39.4420833333333
"105","KHT-XD3S",2018-10-01,0,-81.42
"106","KHT-XD3S",2018-11-18,0,-81.42
"40","KHT-XD3S",2019-06-03,NA,NA
"453","KHT-XD3S",2019-06-17,1,-19.97875
"499","KHT-XD3S",2019-07-05,1,-64.5454166666667
"83","KHT-XD3S",2019-07-26,0,-81.42
"111","KHT-XD3S",2019-08-05,0,-81.42
"180","KHT-XD6N",2018-06-01,1,-27.48875
"166","KHT-XD6N",2018-06-19,1,-69.8220833333333
"170","KHT-XD6N",2018-07-01,1,-96.8095833333334
"276","KHT-XD6N",2018-07-17,0,-95.3550000166667
"304","KHT-XD6N",2018-07-27,0,-95.3550000166667
"358","KHT-XD6N",2018-08-10,0,-95.3550000166667
"432","KHT-XD6N",2018-08-25,0,-95.3550000166667
"119","KHT-XD6N",2018-09-16,0,-95.3550000166667
"120","KHT-XD6N",2018-10-01,0,-95.3550000166667
"121","KHT-XD6N",2018-11-18,0,-95.3550000166667
"54","KHT-XD6N",2019-06-03,1,1.97833333333333
"456","KHT-XD6N",2019-06-17,1,-8.41375000000001
"493","KHT-XD6N",2019-07-05,1,-56.91375
"159","KHT-XD6N",2019-07-26,1,-95.6616666666667
"99","KHT-XD6N",2019-08-04,0,-95.3550000166667
"100","KHT-XD6N",2019-09-21,0,-95.3550000166667
"222","KHT-XE4S",2018-07-01,1,-46.79375
"243","KHT-XE4S",2018-07-17,1,-62.6816666666667
"297","KHT-XE4S",2018-07-27,1,-64.4816666666667
"314","KHT-XE4S",2018-08-10,1,-63.095
"389","KHT-XE4S",2018-08-25,1,-68.12
"349","KHT-XE4S",2018-09-16,1,-65.42
"404","KHT-XE4S",2018-10-01,1,-64.72
"418","KHT-XE4S",2018-10-14,1,-41.72
"379","KHT-XE4S",2018-11-18,1,-26.0866666666667
"28","KHT-XE4S",2019-06-03,1,3.17999999999999
"459","KHT-XE4S",2019-06-17,1,2.02124999999999
"472","KHT-XE4S",2019-07-05,1,-2.67875
"134","KHT-XE4S",2019-07-26,1,-42.9933333333333
"3","KHT-XE4S",2019-08-04,1,-53.67
"598","KHT-XE4S",2019-08-20,1,-62.8766666666667
"599","KHT-XE4S",2019-09-02,1,-62.01
"603","KHT-XE4S",2019-09-21,1,-41.7433333333333
"574","KHT-XE4S",2019-10-05,1,-34.3766666666667
"625","KHT-XE4S",2019-10-20,1,-30.81
"172","KHT-XE5S",2018-06-01,1,-8.20208333333333
"238","KHT-XE5S",2018-06-19,1,-30.63875
"215","KHT-XE5S",2018-07-01,1,-73.7129166666667
"288","KHT-XE5S",2018-07-17,1,-92.6708333333333
"310","KHT-XE5S",2018-07-27,1,-92.5708333333333
"403","KHT-XE5S",2018-08-10,1,-91.1091666666667
"408","KHT-XE5S",2018-08-25,1,-93.2091666666666
"373","KHT-XE5S",2018-09-16,1,-88.2758333333333
"370","KHT-XE5S",2018-10-01,1,-86.8425
"384","KHT-XE5S",2018-10-14,1,-82.6758333333333
"413","KHT-XE5S",2018-11-18,1,-47.8758333333333
"73","KHT-XE5S",2019-06-03,1,-1.57583333333333
"441","KHT-XE5S",2019-06-17,1,-3.06791666666667
"475","KHT-XE5S",2019-07-05,1,-17.1345833333333
"123","KHT-XE5S",2019-07-26,1,-67.7491666666667
"549","KHT-XE5S",2019-09-02,1,-90.8991666666667
"552","KHT-XE5S",2019-10-20,1,-70.1325
"189","KHT-XE6S",2018-06-01,1,-5.01541666666667
"190","KHT-XE6S",2018-06-19,1,-24.3829166666667
